branch,head_sha,last_commit_date,ahead_by,behind_by,compare_status,associated_pr_numbers,associated_pr_states,merged_pr_numbers,changed_file_count,security_sensitive,deployment_dependency,classification,deletion_eligible,decision,decision_reason,owner_action
fix/EXEC-PROMPT-005-defect-014-admin-capability-migration,b44ce2440cfc,2026-06-24T11:53:25Z,1,57,diverged,72,closed,72,1,YES,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
fix/EXEC-PROMPT-008-final-security-and-evidence-correction,5dfc58909bb7,2026-06-24T14:05:12Z,11,54,diverged,75,closed,75,14,YES,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 11 commits ahead,snadaiapp-png
fix/EXEC-PROMPT-009-production-gate-closure,c4f8959ca89a,2026-06-24T15:08:59Z,1,53,diverged,76,closed,76,6,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
fix/EXEC-PROMPT-009A-production-workflow-contract,c1c3fa1a21a6,2026-06-24T15:44:24Z,1,52,diverged,77,closed,77,4,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
fix/EXEC-PROMPT-010A-emergency-workflow-quarantine,57f6b22e22bb,2026-06-24T20:33:37Z,1,32,diverged,81,closed,81,5,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
fix/EXEC-PROMPT-018A-vercel-deploy-clean,ba0b92facecf,2026-06-19T07:17:24Z,4,248,diverged,7,closed,,4,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,Ahead by 4 — requires commit-level proof before deletion,snadaiapp-png
fix/EXEC-PROMPT-026-main-ci-stabilization,e7a312731cd4,2026-06-19T23:05:14Z,3,130,diverged,19,closed,19,5,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 3 commits ahead,snadaiapp-png
fix/api-timeout-cold-start,362957c836d4,2026-06-23T06:16:23Z,1,84,diverged,65,closed,65,1,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
fix/backend-smoke-production-url-source,c3adc6fc6db7,2026-06-22T08:49:52Z,1,98,diverged,58,closed,58,1,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
fix/bootstrap-idempotent-restart,bbd931f5a06c,2026-06-23T05:35:41Z,1,85,diverged,64,closed,64,1,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
fix/login-blockers-auth-flow,28264cb99c15,2026-06-23T09:35:10Z,1,82,diverged,67,closed,67,10,YES,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
fix/relax-rate-limit,06592a59d8c5,2026-06-23T06:59:27Z,1,83,diverged,66,closed,66,1,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
fix/render-docker-paths,d8150884d35a,2026-06-20T17:42:07Z,1,125,diverged,27,closed,27,1,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
fix/render-free-blueprint-shutdown-delay,de68d21fd35b,2026-06-20T14:44:18Z,1,126,diverged,26,closed,26,1,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
fix/render-preflight-authoritative-url,e3984d52eb77,2026-06-21T23:42:13Z,1,102,diverged,57,closed,57,1,YES,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
fix/render-preflight-health-retry,60d29021f47e,2026-06-21T23:06:06Z,1,103,diverged,56,closed,56,1,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
fix/reset-admin-password-v2,68b367680a10,2026-06-25T18:12:05Z,1,4,diverged,105,closed,,1,NO,NO,SECURITY HOLD,NO,KEEP,Security hold until Issue #109 closure,snadaiapp-png
fix/sanad-unified-remediation-auth-memberships,9978727da540,2026-06-23T12:40:43Z,1,76,diverged,68,closed,68,18,YES,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
governance/approve-executor-23,611843a0d1e2,2026-06-20T22:58:08Z,1,116,diverged,45,closed,45,1,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
infra/EXEC-FIX-032-render-control-plane,fe295358b2d6,2026-06-21T21:20:22Z,12,104,diverged,55,closed,55,10,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 12 commits ahead,snadaiapp-png
infra/EXEC-FIX-032-render-control-plane-final,2de120c0179c,2026-06-21T21:13:26Z,9,104,diverged,,,,8,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,"9 unique commits, no PR",snadaiapp-png
infra/EXEC-FIX-032-render-control-plane-open-pr,e9353e3990ce,2026-06-21T21:14:45Z,11,104,diverged,,,,10,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,"11 unique commits, no PR",snadaiapp-png
infra/EXEC-FIX-032-render-control-plane-pr,7bcd58278243,2026-06-21T21:13:59Z,10,104,diverged,,,,9,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,"10 unique commits, no PR",snadaiapp-png
infra/EXEC-FIX-032-render-control-plane-review,e9353e3990ce,2026-06-21T21:14:45Z,11,104,diverged,,,,10,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,"11 unique commits, no PR",snadaiapp-png
infra/EXEC-FIX-032-render-control-plane-snapshot,f04bc82d718a,2026-06-21T21:08:46Z,5,104,diverged,,,,5,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,"5 unique commits, no PR",snadaiapp-png
infra/EXEC-FIX-032-render-control-plane-submit,7bcd58278243,2026-06-21T21:13:59Z,10,104,diverged,,,,9,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,"10 unique commits, no PR",snadaiapp-png
infra/EXEC-FIX-032-render-control-plane-work,e8516c77b5f2,2026-06-21T21:05:20Z,2,104,diverged,,,,2,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,"2 unique commits, no PR",snadaiapp-png
main,8c319019207e,2026-06-25T18:39:42Z,0,0,unknown,16,closed,16,0,NO,NO,MAIN,NO,KEEP,Default branch,N/A
prod-gate-04-reliability,5d55752503b4,2026-06-20T20:49:48Z,1,120,diverged,42,closed,42,1,NO,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 1 commits ahead,snadaiapp-png
prod-gates-security-compliance-ops,696512a59ecd,2026-06-20T21:19:43Z,7,118,diverged,43,closed,43,5,YES,NO,UNIQUE WORK — REVIEW,NO,KEEP,PR merged but 7 commits ahead,snadaiapp-png
